file,file_prefix,zip_type,uid
CSM5FZ3N_P.fastq.gz,CSM5FZ3N_P,P,CSM5FZ3N_P
CSM5FZ3R_P.fastq.gz,CSM5FZ3R_P,P,CSM5FZ3R_P
CSM5YRY7_P.fastq.gz,CSM5YRY7_P,P,CSM5YRY7_P
CSM5FZ3V_P.fastq.gz,CSM5FZ3V_P,P,CSM5FZ3V_P
CSM5FZ4C_P.fastq.gz,CSM5FZ4C_P,P,CSM5FZ4C_P
CSM5MCVD_P.fastq.gz,CSM5MCVD_P,P,CSM5MCVD_P
CSM5MCVF_P.fastq.gz,CSM5MCVF_P,P,CSM5MCVF_P
CSM5MCVV_P.fastq.gz,CSM5MCVV_P,P,CSM5MCVV_P
CSM5MCWI_P.fastq.gz,CSM5MCWI_P,P,CSM5MCWI_P
CSM5MCXD.tar,CSM5MCXD,STD,CSM5MCXD
CSM5MCYS.tar,CSM5MCYS,STD,CSM5MCYS
CSM67U9J.tar,CSM67U9J,STD,CSM67U9J
CSM67UA2.tar,CSM67UA2,STD,CSM67UA2
CSM67UGC.tar,CSM67UGC,STD,CSM67UGC
CSM79HG5.tar,CSM79HG5,STD,CSM79HG5
CSM79HGP.tar,CSM79HGP,STD,CSM79HGP
SM-6UG79.tar,SM-6UG79,VIR,SM-6UG79
SM-71WY3.tar,SM-71WY3,VIR,SM-71WY3
SM-7CRX4.tar,SM-7CRX4,VIR,SM-7CRX4
CSM5FZ3T_P.fastq.gz,CSM5FZ3T_P,P,CSM5FZ3T_P
CSM5FZ3X_P.fastq.gz,CSM5FZ3X_P,P,CSM5FZ3X_P
CSM5FZ3Z_P.fastq.gz,CSM5FZ3Z_P,P,CSM5FZ3Z_P
CSM5FZ42_P.fastq.gz,CSM5FZ42_P,P,CSM5FZ42_P
CSM5FZ44_P.fastq.gz,CSM5FZ44_P,P,CSM5FZ44_P
CSM5FZ46_P.fastq.gz,CSM5FZ46_P,P,CSM5FZ46_P
CSM5MCVJ_P.fastq.gz,CSM5MCVJ_P,P,CSM5MCVJ_P
CSM5MCVL.tar,CSM5MCVL,STD,CSM5MCVL
CSM5MCVN.tar,CSM5MCVN,STD,CSM5MCVN
CSM67UBF.tar,CSM67UBF,STD,CSM67UBF
CSM67UBH.tar,CSM67UBH,STD,CSM67UBH
CSM67UBN.tar,CSM67UBN,STD,CSM67UBN
CSM67UBR.tar,CSM67UBR,STD,CSM67UBR
CSM79HJW.tar,CSM79HJW,STD,CSM79HJW
CSM79HJY.tar,CSM79HJY,STD,CSM79HJY
SM-6X9WV.tar,SM-6X9WV,VIR,SM-6X9WV
SM-76CAU.tar,SM-76CAU,VIR,SM-76CAU
SM-7CP3H.tar,SM-7CP3H,VIR,SM-7CP3H
SM-7EWTT.tar,SM-7EWTT,VIR,SM-7EWTT
CSM5FZ4E_P.fastq.gz,CSM5FZ4E_P,P,CSM5FZ4E_P
CSM5FZ4G_P.fastq.gz,CSM5FZ4G_P,P,CSM5FZ4G_P
CSM5FZ4K_P.fastq.gz,CSM5FZ4K_P,P,CSM5FZ4K_P
CSM5FZ4M.tar,CSM5FZ4M,STD,CSM5FZ4M
CSM5MCWM_P.fastq.gz,CSM5MCWM_P,P,CSM5MCWM_P
CSM5MCWQ.tar,CSM5MCWQ,STD,CSM5MCWQ
CSM67UBX.tar,CSM67UBX,STD,CSM67UBX
CSM67UBZ.tar,CSM67UBZ,STD,CSM67UBZ
CSM67UC6.tar,CSM67UC6,STD,CSM67UC6
CSM79HLM.tar,CSM79HLM,STD,CSM79HLM
SM-6OSOR.tar,SM-6OSOR,VIR,SM-6OSOR
SM-6Y2V3.tar,SM-6Y2V3,VIR,SM-6Y2V3
SM-77VQ4.tar,SM-77VQ4,VIR,SM-77VQ4
SM-7EWUL.tar,SM-7EWUL,VIR,SM-7EWUL
CSM5FZ4A_P.fastq.gz,CSM5FZ4A_P,P,CSM5FZ4A_P
CSM5MCU8_P.fastq.gz,CSM5MCU8_P,P,CSM5MCU8_P
CSM5MCUA_P.fastq.gz,CSM5MCUA_P,P,CSM5MCUA_P
CSM5MCUC_P.fastq.gz,CSM5MCUC_P,P,CSM5MCUC_P
CSM5MCUE_P.fastq.gz,CSM5MCUE_P,P,CSM5MCUE_P
CSM5MCXH.tar,CSM5MCXH,STD,CSM5MCXH
CSM5MCXJ.tar,CSM5MCXJ,STD,CSM5MCXJ
CSM5MCXL.tar,CSM5MCXL,STD,CSM5MCXL
CSM5MCXN.tar,CSM5MCXN,STD,CSM5MCXN
CSM5MCXP.tar,CSM5MCXP,STD,CSM5MCXP
CSM5MCXR.tar,CSM5MCXR,STD,CSM5MCXR
CSM67UDF.tar,CSM67UDF,STD,CSM67UDF
CSM67UDJ.tar,CSM67UDJ,STD,CSM67UDJ
CSM67UDN.tar,CSM67UDN,STD,CSM67UDN
CSM67UDR_TR.tar,CSM67UDR_TR,TR,CSM67UDR_TR
CSM67UDR.tar,CSM67UDR,STD,CSM67UDR
CSM67UDY.tar,CSM67UDY,STD,CSM67UDY
CSM79HLA_TR.tar,CSM79HLA_TR,TR,CSM79HLA_TR
CSM79HLA.tar,CSM79HLA,STD,CSM79HLA
CSM79HLG.tar,CSM79HLG,STD,CSM79HLG
CSM79HLE.tar,CSM79HLE,STD,CSM79HLE
CSM79HLC.tar,CSM79HLC,STD,CSM79HLC
CSM79HLI.tar,CSM79HLI,STD,CSM79HLI
CSM79HLK.tar,CSM79HLK,STD,CSM79HLK
SM-6WJN6.tar,SM-6WJN6,VIR,SM-6WJN6
SM-6X9X4.tar,SM-6X9X4,VIR,SM-6X9X4
SM-6YAZO.tar,SM-6YAZO,VIR,SM-6YAZO
SM-6ZKSM.tar,SM-6ZKSM,VIR,SM-6ZKSM
SM-71WXM.tar,SM-71WXM,VIR,SM-71WXM
SM-73JY4.tar,SM-73JY4,VIR,SM-73JY4
SM-76EOJ.tar,SM-76EOJ,VIR,SM-76EOJ
SM-791BX.tar,SM-791BX,VIR,SM-791BX
SM-7BF2J.tar,SM-7BF2J,VIR,SM-7BF2J
SM-7CRJ8.tar,SM-7CRJ8,VIR,SM-7CRJ8
SM-7EWUH.tar,SM-7EWUH,VIR,SM-7EWUH
SM-7GYJO.tar,SM-7GYJO,VIR,SM-7GYJO
SM-7IL1E.tar,SM-7IL1E,VIR,SM-7IL1E
SM-7KPUR.tar,SM-7KPUR,VIR,SM-7KPUR
SM-7MOQJ.tar,SM-7MOQJ,VIR,SM-7MOQJ
CSM5MCUQ_P.fastq.gz,CSM5MCUQ_P,P,CSM5MCUQ_P
CSM5MCUS_P.fastq.gz,CSM5MCUS_P,P,CSM5MCUS_P
CSM5MCUW_P.fastq.gz,CSM5MCUW_P,P,CSM5MCUW_P
CSM5MCUY_P.fastq.gz,CSM5MCUY_P,P,CSM5MCUY_P
CSM5MCY4.tar,CSM5MCY4,STD,CSM5MCY4
CSM5MCY8.tar,CSM5MCY8,STD,CSM5MCY8
CSM67UE3.tar,CSM67UE3,STD,CSM67UE3
CSM67UE7.tar,CSM67UE7,STD,CSM67UE7
CSM67UEA.tar,CSM67UEA,STD,CSM67UEA
CSM67UEM.tar,CSM67UEM,STD,CSM67UEM
CSM67UEI.tar,CSM67UEI,STD,CSM67UEI
CSM79HO1.tar,CSM79HO1,STD,CSM79HO1
SM-6WOCE.tar,SM-6WOCE,VIR,SM-6WOCE
SM-6ZEVI.tar,SM-6ZEVI,VIR,SM-6ZEVI
SM-7AA2E.tar,SM-7AA2E,VIR,SM-7AA2E
SM-7BP5L.tar,SM-7BP5L,VIR,SM-7BP5L
SM-7I1G8.tar,SM-7I1G8,VIR,SM-7I1G8
SM-7K25Z.tar,SM-7K25Z,VIR,SM-7K25Z
CSM5MCTZ_P.fastq.gz,CSM5MCTZ_P,P,CSM5MCTZ_P
CSM5MCUG_P.fastq.gz,CSM5MCUG_P,P,CSM5MCUG_P
CSM5MCUK_P.fastq.gz,CSM5MCUK_P,P,CSM5MCUK_P
CSM5MCUO.tar,CSM5MCUO,STD,CSM5MCUO
CSM5MCX3.tar,CSM5MCX3,STD,CSM5MCX3
CSM67UFV.tar,CSM67UFV,STD,CSM67UFV
CSM67UFZ.tar,CSM67UFZ,STD,CSM67UFZ
CSM67UG8.tar,CSM67UG8,STD,CSM67UG8
CSM79HMN.tar,CSM79HMN,STD,CSM79HMN
CSM79HMP.tar,CSM79HMP,STD,CSM79HMP
CSM79HMT.tar,CSM79HMT,STD,CSM79HMT
