"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX3678522","16S Biopsy Sample P6024CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939144","","3.52","1","11944","5972000","P6024CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678521","16S Biopsy Sample P6018CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939145","","0.68","1","2167","1083500","P6018CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678520","16S Biopsy Sample H4038CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939142","","8.96","1","31349","15674500","H4038CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678519","16S Biopsy Sample P6016CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939141","","1.41","1","4683","2341500","P6016CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678518","16S Biopsy Sample P6014CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939143","","16.36","1","57311","28655500","P6014CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678517","16S Biopsy Sample P6016CSC3_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939140","","10.1","1","35387","17693500","P6016CSC3_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678516","16S Biopsy Sample P6016CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939138","","12.38","1","43204","21602000","P6016CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678515","16S Biopsy Sample P6017CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939139","","7.3","1","25767","12883500","P6017CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678514","16S Biopsy Sample P6016CB1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939137","","5.52","1","19453","9726500","P6016CB1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678513","16S Biopsy Sample P6018CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939136","","11.29","1","39520","19760000","P6018CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678512","16S Biopsy Sample P6017CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939134","","13.03","1","46469","23234500","P6017CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678511","16S Biopsy Sample H4038CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939135","","17.38","1","60876","30438000","H4038CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678510","16S Biopsy Sample H4028CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939133","","18.61","1","64618","32309000","H4028CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678509","16S Biopsy Sample H4039CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939131","","2.48","1","8597","4298500","H4039CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678508","16S Biopsy Sample H4006CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939132","","11.13","1","40250","20125000","H4006CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678507","16S Biopsy Sample H4004CB2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939130","","20.29","1","70977","35488500","H4004CB2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678506","16S Biopsy Sample H4004CB1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939128","","19.32","1","66931","33465500","H4004CB1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678505","16S Biopsy Sample H4004CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939125","","22.61","1","78295","39147500","H4004CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678504","16S Biopsy Sample H4001CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939126","","2.87","1","9697","4848500","H4001CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678503","16S Biopsy Sample C3037CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939129","","14.86","1","52366","26183000","C3037CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678502","16S Biopsy Sample C3037CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939123","","15.07","1","53278","26639000","C3037CSC1_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678501","16S Biopsy Sample C3035CSC2_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939122","","1.71","1","5737","2868500","C3035CSC2_BP","AMPLICON","METAGENOMIC","PCR"
"SRX3678500","16S Biopsy Sample C3035CSC1_BP","human gut metagenome","Illumina MiniSeq","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2939127","","1.35","1","4501","2250500","C3035CSC1_BP","AMPLICON","METAGENOMIC","PCR"
