"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX3139489","fecal sample from HMP2: Subject H4020C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472324","","981.23","1","12069577","2363597386","G95654_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139488","fecal sample from HMP2: Subject C3011C6_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472322","","1370.98","1","16621016","3243376740","G95655_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139487","fecal sample from HMP2: Subject H4022C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472321","","1377.78","1","16684438","3266450934","G95656_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139486","fecal sample from HMP2: Subject C3017C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472323","","1273.85","1","15637999","3058708177","G95657_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139485","fecal sample from HMP2: Subject C3011C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472842","","846.59","1","11390074","2258081562","G95748_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139484","fecal sample from HMP2: Subject C3017C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472319","","1373.63","1","18187506","3584781425","G95747_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139483","fecal sample from HMP2: Subject C3013C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472320","","455.78","1","5530064","1077167064","G95660_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139482","fecal sample from HMP2: Subject C3011C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472318","","532.06","1","6453786","1259739981","G95661_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139481","fecal sample from HMP2: Subject C3010C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472317","","1016.57","1","13722658","2721187351","G95743_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139480","fecal sample from HMP2: Subject C3011C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472316","","756.76","1","10371155","2056061543","G95742_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139479","fecal sample from HMP2: Subject C3015C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472315","","1347.59","1","18128140","3593927610","G95746_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139478","fecal sample from HMP2: Subject C3011C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472313","","1148.09","1","15210036","3009511523","G95745_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139477","fecal sample from HMP2: Subject C3011C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472314","","1019.52","1","13626036","2687474999","G95739_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139476","fecal sample from HMP2: Subject H4013C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472312","","1968.59","1","26316254","5216305661","G95737_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139475","fecal sample from HMP2: Subject M2086C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472311","","1080.01","1","14476100","2868053607","G95741_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139474","fecal sample from HMP2: Subject H4008C6_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472310","","966.6","1","12640251","2492169304","G95740_MGX","WGS","METAGENOMIC","RANDOM"
